Country,League,Season,Date,Homeoraway,Team,HTTeamGoals,TeamGoals,TeamShots,TeamShotsOnTarget,TeamFouls,TeamCorners,TeamYellow,TeamRed,Opponent,HTOpponentGoals,OpponentGoals,OpponentShots,OpponentShotOnTarget,OpponentFouls,OpponentCorners,OpponentYellow,OpponentRed,FavouriteResult,HTResult,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,OddsOver2.5Goals,OddsUnder2.5Goals,FavouriteOU2.5,ResultBetWin,ResultBetDraw,ResultBetLose,ResultBetOver2.5,ResultBetUnder2.5
ENGLAND,PREM,15/16,13/02/16,Away,West Brom,1,1,5,1,12,1,3,0,Everton,0,0,34,6,9,14,1,0,NotFavourite,Win,Win,1,7.5,4.2,1.53,1.92,1.88,FavUnder,6.5,-1,-1,-1,0.88
ENGLAND,PREM,15/16,13/02/16,Away,West Ham,0,2,11,6,11,3,2,0,Norwich,0,2,13,3,16,3,2,0,NotFavourite,Draw,Draw,4,3.25,3.4,2.38,1.99,1.8,FavUnder,-1,2.4,-1,0.99,-1
ENGLAND,PREM,15/16,13/02/16,Away,Southampton,0,1,13,5,12,4,3,0,Swansea,0,0,13,2,10,5,0,0,Favourite,Draw,Win,1,2.5,3.25,3.2,2.4,1.55,FavUnder,1.5,-1,-1,-1,0.55
ENGLAND,PREM,15/16,14/02/16,Away,Liverpool,2,6,11,9,9,6,1,0,Aston Villa,0,0,6,1,10,0,3,0,Favourite,Win,Win,6,1.85,3.6,4.75,2.23,1.65,FavUnder,0.85,-1,-1,1.23,-1
ENGLAND,PREM,15/16,14/02/16,Away,Tottenham,0,2,6,3,17,1,3,0,Man City,0,1,19,4,12,7,1,0,NotFavourite,Draw,Win,3,3.6,3.75,2.1,1.72,2.11,FavOver,2.6,-1,-1,0.72,-1
ENGLAND,PREM,15/16,27/02/16,Away,Chelsea,0,2,16,4,11,8,1,0,Southampton,1,1,7,2,10,7,3,0,Favourite,Lose,Win,3,2.5,3.25,2.8,2.16,1.68,FavUnder,1.5,-1,-1,1.16,-1
ENGLAND,PREM,15/16,27/02/16,Away,Bournemouth,0,0,11,3,17,5,1,0,Watford,0,0,14,1,14,4,3,0,NotFavourite,Draw,Draw,0,3,3.25,2.38,2.16,1.69,FavUnder,-1,2.25,-1,-1,0.69
ENGLAND,PREM,15/16,01/03/16,Away,Everton,2,3,10,7,7,8,1,0,Aston Villa,0,1,14,5,8,9,3,0,Favourite,Win,Win,4,1.91,3.6,4.5,2,1.81,FavUnder,0.91,-1,-1,1,-1
ENGLAND,PREM,15/16,01/03/16,Away,West Brom,1,2,11,3,8,3,2,0,Leicester,2,2,22,5,10,11,0,0,NotFavourite,Lose,Draw,4,5.5,3.8,1.73,2.13,1.71,FavUnder,-1,2.8,-1,1.13,-1
ENGLAND,PREM,15/16,01/03/16,Away,Chelsea,2,2,10,2,5,4,2,0,Norwich,0,1,13,2,17,4,3,0,Favourite,Win,Win,3,1.7,4,5.25,1.83,1.97,FavOver,0.7,-1,-1,0.83,-1
ENGLAND,PREM,15/16,01/03/16,Away,Crystal Palace,0,2,13,5,14,5,1,0,Sunderland,1,2,17,6,11,4,1,0,NotFavourite,Lose,Draw,4,3.1,3.3,2.5,2.18,1.68,FavUnder,-1,2.3,-1,1.18,-1
ENGLAND,PREM,15/16,02/03/16,Away,Swansea,1,2,11,2,11,3,2,0,Arsenal,1,1,18,4,8,7,0,0,NotFavourite,Draw,Win,3,10,5.25,1.36,1.76,2.04,FavOver,9,-1,-1,0.76,-1
ENGLAND,PREM,15/16,05/03/16,Away,Stoke,0,1,16,5,10,4,2,0,Chelsea,1,1,20,7,9,8,1,0,NotFavourite,Lose,Draw,2,7.5,4.5,1.5,1.82,1.98,FavOver,-1,3.5,-1,-1,0.98
ENGLAND,PREM,15/16,05/03/16,Away,West Ham,0,3,17,5,13,6,3,0,Everton,1,2,15,8,12,9,2,1,NotFavourite,Lose,Win,5,5,4,1.73,1.72,2.1,FavOver,4,-1,-1,0.72,-1
ENGLAND,PREM,15/16,05/03/16,Away,Bournemouth,1,3,16,5,8,4,3,0,Newcastle,0,1,14,3,13,5,1,0,NotFavourite,Win,Win,4,2.88,3.4,2.63,1.93,1.87,FavUnder,1.88,-1,-1,0.93,-1
ENGLAND,PREM,15/16,05/03/16,Away,Sunderland,0,1,11,3,9,2,1,0,Southampton,0,1,16,5,9,12,2,1,NotFavourite,Draw,Draw,2,6.5,4,1.6,1.97,1.83,FavUnder,-1,3,-1,-1,0.83
ENGLAND,PREM,15/16,05/03/16,Away,Arsenal,1,2,10,4,10,2,2,1,Tottenham,0,2,26,11,9,9,2,0,NotFavourite,Win,Draw,4,3.25,3.4,2.38,1.8,2,FavOver,-1,2.4,-1,0.8,-1
ENGLAND,PREM,15/16,05/03/16,Away,Leicester,0,1,14,7,11,8,2,0,Watford,0,0,11,4,10,3,2,0,Favourite,Draw,Win,1,2.55,3.4,3,2.11,1.71,FavUnder,1.55,-1,-1,-1,0.71
