in,AwayTeam,HomeTeam,AwayOdds,HomeOdds,AwayScore,HomeScore
hATvPkht,Oklahoma City Thunder,Indiana Pacers,3.73,1.3,95,152
hILVXPJD,Orlando Magic,Memphis Grizzlies,6.38,1.13,112,111
61JJzSZf,Houston Rockets,Golden State Warriors,4.14,1.26,87,113
OxUEy8Kl,Charlotte Hornets,Detroit Pistons,1.3,3.74,107,94
AZPAxl5r,Los Angeles Lakers,Sacramento Kings,1.15,6.02,106,110
hfwqsUdR,Phoenix Suns,Utah Jazz,1.61,2.44,121,100
E3vurAsL,Chicago Bulls,Milwaukee Bucks,2.07,1.8,98,108
f1OwpWC8,Brooklyn Nets,Portland Trail Blazers,2.3,1.66,109,128
YiNsqjSE,Memphis Grizzlies,Orlando Magic,1.11,7.49,92,75
SfWiMSK1,Boston Celtics,San Antonio Spurs,1.52,2.65,143,140
tbzdLnz8,Cleveland Cavaliers,Washington Wizards,3.18,1.38,93,122
pWtmN85e,Philadelphia 76ers,Atlanta Hawks,1.32,3.55,126,104
bebLpOKG,Denver Nuggets,Toronto Raptors,1.52,2.63,121,111
phfHo45A,Oklahoma City Thunder,New Orleans Pelicans,4.5,1.23,95,109
x6wuPUzq,Houston Rockets,Milwaukee Bucks,8.24,1.09,143,136
6urqOljk,Minnesota Timberwolves,Golden State Warriors,2.52,1.56,126,114
hY18UjDL,Detroit Pistons,Dallas Mavericks,3.55,1.32,105,115
zciDTASR,Indiana Pacers,Brooklyn Nets,2.81,1.47,113,130
nya0WCr9,Phoenix Suns,Los Angeles Clippers,1.55,2.58,109,101
tbb4VWcF,Sacramento Kings,Utah Jazz,4.19,1.25,105,154
8p0dXhT2,Denver Nuggets,New Orleans Pelicans,1.59,2.45,114,112
WSGD89j2,Memphis Grizzlies,Portland Trail Blazers,1.81,2.05,109,130
hxI99kyd,Miami Heat,San Antonio Spurs,1.51,2.66,116,111
pCE1BB6q,Boston Celtics,Charlotte Hornets,1.4,3.07,120,111
bFI5AVLk,New York Knicks,Chicago Bulls,1.57,2.5,113,94
vVyZFibS,Washington Wizards,Los Angeles Lakers,1.96,1.89,116,107
viqTdCij,Cleveland Cavaliers,Orlando Magic,1.6,2.44,104,109
IsrXeW6d,Philadelphia 76ers,Atlanta Hawks,1.2,4.85,127,83
MFlOchxp,Golden State Warriors,Dallas Mavericks,1.59,2.45,103,133
K62d2YTS,Houston Rockets,Minnesota Timberwolves,2.15,1.74,107,114
0vwVGXrM,Toronto Raptors,Brooklyn Nets,2.66,1.5,103,116
pU7X7x0i,Boston Celtics,Oklahoma City Thunder,1.14,6.16,115,119
hfBu6GU3,Charlotte Hornets,Milwaukee Bucks,4.37,1.24,104,114
E9al4faG,Indiana Pacers,Portland Trail Blazers,2.89,1.45,112,133
ULPppZ7p,Sacramento Kings,Dallas Mavericks,3.14,1.39,113,106
bZ2D2sOB,Denver Nuggets,Memphis Grizzlies,1.6,2.43,120,96
nZ7XBo1P,Miami Heat,Chicago Bulls,1.44,2.94,102,110
W6q46POn,Minnesota Timberwolves,Utah Jazz,4.97,1.19,105,104
vXnC43ga,New Orleans Pelicans,Los Angeles Clippers,2.11,1.76,120,103
bJEkm2OO,New York Knicks,Phoenix Suns,2.22,1.7,110,118
63ORHDTF,Toronto Raptors,Cleveland Cavaliers,1.14,6.26,112,96
pd8ZjpPa,Detroit Pistons,Atlanta Hawks,2.5,1.57,100,86
vJ7wj4v6,Orlando Magic,Los Angeles Lakers,6.23,1.14,103,114
x4QtkOgC,Philadelphia 76ers,Oklahoma City Thunder,1.06,11.04,121,90
KSFolr9I,Washington Wizards,San Antonio Spurs,2.14,1.75,143,146
659ViQ9g,Golden State Warriors,Sacramento Kings,1.31,3.6,117,113
lUEQh6fm,Orlando Magic,Indiana Pacers,2.92,1.44,112,131
AwGMgnus,Atlanta Hawks,Milwaukee Bucks,2.88,1.45,111,104
xrkT0fKk,Washington Wizards,Cleveland Cavaliers,1.34,3.39,119,110
AgI8Qvas,Portland Trail Blazers,Memphis Grizzlies,1.63,2.36,113,120
xjo8zPvJ,Brooklyn Nets,Phoenix Suns,1.87,1.99,128,119
jZn0xoA6,Charlotte Hornets,Boston Celtics,3.77,1.29,125,104
UJbiv7uf,Denver Nuggets,Houston Rockets,1.08,9.2,129,116
GGfmumQm,Utah Jazz,Minnesota Timberwolves,1.11,7.04,96,101
MgeqtTAs,Dallas Mavericks,Los Angeles Lakers,1.79,2.09,108,93
Kp9Hp92Q,Miami Heat,Chicago Bulls,1.52,2.64,106,101
6s5dtred,New Orleans Pelicans,San Antonio Spurs,1.66,2.3,108,110
29ECokmK,Indiana Pacers,Detroit Pistons,1.54,2.57,115,109
OIF8nVXD,Milwaukee Bucks,Philadelphia 76ers,1.26,4.2,132,94
SCPNIgE9,New York Knicks,Toronto Raptors,1.95,1.89,120,103
AFRQNoeD,Golden State Warriors,Denver Nuggets,2.19,1.72,118,97
bk5aZZsC,Portland Trail Blazers,Memphis Grizzlies,1.56,2.53,128,130
xQZDQmBf,Charlotte Hornets,Cleveland Cavaliers,1.83,2.03,108,102
GGYHP7Q0,Houston Rockets,Los Angeles Clippers,4.77,1.21,104,109
buOMORu7,Oklahoma City Thunder,Washington Wizards,4.59,1.22,109,129
UaW5S9tr,Atlanta Hawks,Miami Heat,3.23,1.37,118,103
8jV9RTel,Brooklyn Nets,Boston Celtics,1.63,2.38,109,104
OIgwXkYQ,Dallas Mavericks,Los Angeles Lakers,1.66,2.31,115,110
