Country,League,Season,Date,Homeoraway,Team,TeamGoals,Opponent,OpponentGoals,Favourite,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,ResultBetWin,ResultBetDraw,ResultBetLose
ENGLAND,PREM,20/21,2021/05/19,Home,Tottenham,1,Aston Villa,2,Favourite,Lose,3,1.5,4.5,6,-1,-1,5
ENGLAND,PREM,20/21,2021/05/19,Away,Wolves,0,Everton,1,NotFavourite,Lose,1,4.2,3.6,1.85,-1,-1,0.85
ENGLAND,PREM,20/21,2021/05/19,Away,Sheffield United,0,Newcastle,1,NotFavourite,Lose,1,4.75,3.8,1.72,-1,-1,0.72
ENGLAND,PREM,20/21,2021/05/19,Home,West Brom,1,West Ham,3,NotFavourite,Lose,4,5,4.33,1.6,-1,-1,0.6
ENGLAND,PREM,20/21,2021/05/19,Home,Crystal Palace,1,Arsenal,3,NotFavourite,Lose,4,6,4.5,1.5,-1,-1,0.5
ENGLAND,PREM,20/21,2021/05/19,Home,Burnley,0,Liverpool,3,NotFavourite,Lose,3,11,7,1.22,-1,-1,0.22
ENGLAND,PREM,20/21,2021/05/19,Home,Everton,1,Wolves,0,Favourite,Win,1,1.85,3.6,4.2,0.85,-1,-1
ENGLAND,PREM,20/21,2021/05/19,Home,Newcastle,1,Sheffield United,0,Favourite,Win,1,1.72,3.8,4.75,0.72,-1,-1
ENGLAND,PREM,20/21,2021/05/19,Away,Aston Villa,2,Tottenham,1,NotFavourite,Win,3,6,4.5,1.5,5,-1,-1
ENGLAND,PREM,20/21,2021/05/19,Away,Arsenal,3,Crystal Palace,1,Favourite,Win,4,1.5,4.5,6,0.5,-1,-1
ENGLAND,PREM,20/21,2021/05/19,Away,Liverpool,3,Burnley,0,Favourite,Win,3,1.22,7,11,0.22,-1,-1
ENGLAND,PREM,20/21,2021/05/19,Away,West Ham,3,West Brom,1,Favourite,Win,4,1.6,4.33,5,0.6,-1,-1
ENGLAND,PREM,20/21,2021/05/18,Away,Man City,2,Brighton,3,Favourite,Lose,5,1.45,4.5,7,-1,-1,6
ENGLAND,PREM,20/21,2021/05/18,Home,Southampton,0,Leeds,2,NotFavourite,Lose,2,2.55,3.9,2.5,-1,-1,1.5
ENGLAND,PREM,20/21,2021/05/18,Away,Leicester,1,Chelsea,2,NotFavourite,Lose,3,5,3.75,1.7,-1,-1,0.7
ENGLAND,PREM,20/21,2021/05/18,Home,Man United,1,Fulham,1,Favourite,Draw,2,1.28,6,9,-1,5,-1
ENGLAND,PREM,20/21,2021/05/18,Home,Brighton,3,Man City,2,NotFavourite,Win,5,7,4.5,1.45,6,-1,-1
ENGLAND,PREM,20/21,2021/05/18,Home,Chelsea,2,Leicester,1,Favourite,Win,3,1.7,3.75,5,0.7,-1,-1
ENGLAND,PREM,20/21,2021/05/18,Away,Fulham,1,Man United,1,NotFavourite,Draw,2,9,6,1.28,-1,5,-1
ENGLAND,PREM,20/21,2021/05/18,Away,Leeds,2,Southampton,0,Favourite,Win,2,2.5,3.9,2.55,1.5,-1,-1
ENGLAND,PREM,20/21,2021/05/16,Home,Everton,0,Sheffield United,1,Favourite,Lose,1,1.36,4.75,8.5,-1,-1,7.5
ENGLAND,PREM,20/21,2021/05/16,Away,Aston Villa,2,Crystal Palace,3,Favourite,Lose,5,2.25,3.6,3,-1,-1,2
ENGLAND,PREM,20/21,2021/05/16,Away,Wolves,0,Tottenham,2,NotFavourite,Lose,2,6.5,4.33,1.5,-1,-1,0.5
ENGLAND,PREM,20/21,2021/05/16,Home,West Brom,1,Liverpool,2,NotFavourite,Lose,3,12,6.5,1.22,-1,-1,0.22
ENGLAND,PREM,20/21,2021/05/16,Home,Crystal Palace,3,Aston Villa,2,NotFavourite,Win,5,3,3.6,2.25,2,-1,-1
ENGLAND,PREM,20/21,2021/05/16,Home,Tottenham,2,Wolves,0,Favourite,Win,2,1.5,4.33,6.5,0.5,-1,-1
ENGLAND,PREM,20/21,2021/05/16,Away,Liverpool,2,West Brom,1,Favourite,Win,3,1.22,6.5,12,0.22,-1,-1
ENGLAND,PREM,20/21,2021/05/16,Away,Sheffield United,1,Everton,0,NotFavourite,Win,1,8.5,4.75,1.36,7.5,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Home,Barcelona,1,Celta,2,Favourite,Lose,3,1.2,7.5,11,-1,-1,10
SPAIN,LALIGA,20/21,2021/05/16,Away,Eibar,1,Valencia,4,Favourite,Lose,5,2.37,3.4,2.87,-1,-1,1.87
