Country,League,Season,Date,Team,Homeoraway,TeamOdds,TeamScore,Opponent,OpponentOdds,OpponentScore,Result,Favourite,TotalScorePred,TotalScore,ResultBetWin,ResultBetLose,TotalfromPred,TeamWinPred,TeamScorePred,ScoredfromPred,OpponentWinPred,OpponentScorePred,ReceivedfromPred
USA,NBA,20/21,2020/12/26,Philadelphia 76ers,Away,1.26,109,New York Knicks,3.98,89,Win,Favourite,221,198,0.26,-1,-23,61%,113,-4,39%,108,-19
USA,NBA,20/21,2020/12/26,Phoenix Suns,Away,1.63,103,Sacramento Kings,2.35,106,Lose,Favourite,227,209,-1,1.35,-18,48%,113,-10,52%,114,-8
USA,NBA,20/21,2020/12/26,Toronto Raptors,Away,1.73,114,San Antonio Spurs,2.17,119,Lose,Favourite,227,233,-1,1.17,6,37%,111,3,63%,116,3
USA,NBA,20/21,2020/12/26,Memphis Grizzlies,Home,1.71,112,Atlanta Hawks,2.19,122,Lose,Favourite,233,234,-1,1.19,1,50%,116,-4,50%,117,5
USA,NBA,20/21,2020/12/26,Detroit Pistons,Home,1.88,119,Cleveland Cavaliers,1.97,128,Lose,Favourite,221,247,-1,0.97,26,56%,112,7,44%,109,19
USA,NBA,20/21,2020/12/26,Portland Trail Blazers,Home,1.31,128,Houston Rockets,3.62,126,Win,Favourite,229,254,0.31,-1,25,43%,113,15,57%,116,10
USA,NBA,20/21,2020/12/26,Chicago Bulls,Home,2.96,106,Indiana Pacers,1.43,125,Lose,NotFavourite,220,231,-1,0.43,11,34%,107,-1,66%,113,12
USA,NBA,20/21,2020/12/26,Utah Jazz,Home,1.23,111,Minnesota Timberwolves,4.41,116,Lose,Favourite,224,227,-1,3.41,3,71%,116,-5,29%,108,8
USA,NBA,20/21,2020/12/26,Charlotte Hornets,Home,1.69,107,Oklahoma City Thunder,2.23,109,Lose,Favourite,221,216,-1,1.23,-5,45%,109,-2,55%,112,-3
USA,NBA,20/21,2020/12/26,Washington Wizards,Home,1.78,120,Orlando Magic,2.09,130,Lose,Favourite,225,250,-1,1.09,25,44%,111,9,56%,114,16
USA,NBA,20/21,2020/12/26,New York Knicks,Home,3.98,89,Philadelphia 76ers,1.26,109,Lose,NotFavourite,221,198,-1,0.26,-23,39%,108,-19,61%,113,-4
USA,NBA,20/21,2020/12/26,Sacramento Kings,Home,2.35,106,Phoenix Suns,1.63,103,Win,NotFavourite,227,209,1.35,-1,-18,52%,114,-8,48%,113,-10
